//(x, y, w, h, direction)
66 22.8 66.8 75.6 down
132.933 22.8 66.8 75.6 down
200.267 22.8 66.8 75.6 down
267.2 22.8 66.8 75.6 down
334 22.2667 91.2 31.2 down
424.933 22.2667 91.2 31.2 down
516.133 22.2667 91.2 31.2 down
18.1333 97.6 30.4 38.1333 right x
18.1333 135.467 30.4 38.1333 right
18.1333 173.6 30.4 38.1333 right
18.1333 211.6 30.4 38.1333 right
18.1333 249.733 30.4 38.1333 right
166.8 188.267 65 27.4667 up
166.8 215.467 32.5333 85 left
199.333 215.467 32.5333 85 right
166.8 300.533 32.5333 85 left
199.333 300.533 32.5333 85 right
166.8 385.333 65 27.4667 down
323.333 188.267 65 27.4667 up
323.333 215.467 32.5333 85 left
355.867 215.467 32.5333 85 right
323.333 300.533 32.5333 85 left
355.867 300.533 32.5333 85 right
323.333 385.333 65 27.4667 down
469.467 188.267 65 27.4667 up
469.467 215.467 32.5333 85 left
502 215.467 32.5333 85 right
469.467 300.533 32.5333 85 left
502 300.533 32.5333 85 right
469.467 385.333 65 27.4667 down
643.733 42 34.8 84.5333 left
643.733 126.533 34.8 84.5333 left
643.733 211.067 34.8 84.5333 left
643.733 295.2 34.8 84.5333 left
643.733 379.867 93.0667 35.2 down
736.133 379.867 93.0667 35.2 down
829.467 379.867 93.0667 35.2 down
17.0667 622.667 49.6 42 up
67.3333 622.667 117.2 51.6 up
406.133 643.467 89.8667 29.4667 up
496.533 643.467 89.8667 29.4667 up
586.8 643.467 89.8667 29.4667 up
750.667 643.467 70.9333 29.4667 up
821.467 643.467 70.9333 29.4667 up
677.333 662.4 72.4 22.5333 up
533 503.467 91 30.6667 up
533 534.133 91 30.6667 down
623.067 503.467 91 30.6667 up
623.067 534.133 91 30.6667 down
713 503.467 91 30.6667 up
713 534.133 91 30.6667 down
803.067 503.467 29.2 61.3333 right
503.733 503.467 29.2 61.3333 left
